time,open,high,low,close,volume,volume_spike,price_change,high_low_range,price_volatility,anomaly,event_type
08:00:00,0.98347,0.984295,0.98165,0.983495,112188.95914179836,True,3.050439009011363e-05,0.0026944430295930406,0.01574891651255313,-1,Hidden Accumulation
13:00:00,0.984365,0.989095,0.98269,0.987545,144577.25857149813,True,0.003250892725619625,0.00651782352522158,0.01574419481363008,-1,Major Market Move
14:00:00,0.987575,0.989375,0.985415,0.988535,158099.6484010369,True,0.0010024859626649452,0.004018611447968585,0.01564900565674784,-1,Major Market Move
15:00:00,0.988535,0.98914,0.986365,0.98739,114254.73885235938,True,-0.0011582796764910697,0.0028133601658614934,0.015651104240461587,-1,Major Market Move
12:00:00,0.974475,0.97485,0.96316,0.966835,120844.73922844978,True,-0.007855391025048952,0.012137131940695189,0.03212876241129391,-1,Major Market Move
13:00:00,0.966825,0.9702,0.964535,0.969405,156642.35893735292,True,0.002658157803554939,0.005873296458915353,0.03216540750802682,-1,Major Market Move
14:00:00,0.96943,0.97262,0.96757,0.9718,140686.6888866723,True,0.0024705876284938366,0.005219260621970502,0.032214199904230335,-1,Major Market Move
15:00:00,0.97181,0.97991,0.971085,0.97791,145779.29892655465,True,0.006287301913973975,0.009087772954993613,0.03233900917381482,-1,Major Market Move
14:00:00,0.967445,0.967645,0.96353,0.964775,112700.16959347576,True,-0.0027443846066381727,0.0042707544134588235,0.04353006877819025,-1,Major Market Move
15:00:00,0.96477,0.965675,0.960965,0.962,128936.13905637711,True,-0.0028763183125599667,0.004901323149126131,0.04350726183841463,-1,Major Market Move
16:00:00,0.96201,0.962955,0.960795,0.96216,93672.65942791104,True,0.00016632016632023294,0.0022481382605030738,0.04350704003650086,-1,Hidden Accumulation
15:00:00,1.03855,1.0388350000000002,1.029475,1.02984,119716.7190634385,True,-0.008377144837945494,0.009092012919206641,0.008308875115053172,-1,Major Market Move
18:00:00,1.031495,1.037895,1.03063,1.037215,126794.84867592902,True,0.005535600893839643,0.00704908648108446,0.008517092351356639,-1,Major Market Move
03:00:00,1.22705,1.22769,1.226775,1.227305,12000.900071077052,False,0.00020781549244142106,0.0007458580424283174,0.02646184514803998,-1,Volatility Event
06:00:00,1.2272500000000002,1.2274500000000002,1.22667,1.22697,11732.82006685436,False,-0.00022407913660271728,0.0006358678373158429,0.026477503405826067,-1,Volatility Event
07:00:00,1.226965,1.227105,1.225525,1.2258300000000002,19685.66008166969,False,-0.0009291180713462133,0.0012892433854877826,0.026481594176368414,-1,Volatility Event
08:00:00,1.225835,1.227885,1.225825,1.2274349999999998,27653.91006444395,True,0.0013093169525950632,0.0016805008871575884,0.026486658683629965,-1,Major Market Move
09:00:00,1.22743,1.2284000000000002,1.2268599999999998,1.22723,18683.34003122896,False,-0.00016701495394855215,0.001255236946351107,0.026489575435991203,-1,Volatility Event
10:00:00,1.227235,1.22843,1.22716,1.22773,15159.49002597481,False,0.00040742159171469616,0.0010349098732030724,0.026463653596188498,-1,Volatility Event
11:00:00,1.227725,1.229065,1.22768,1.2283149999999998,15661.170027799906,False,0.00047648913034614715,0.001128144141795883,0.026469263220900867,-1,Volatility Event
12:00:00,1.228295,1.228475,1.2266,1.227255,20805.3300370425,False,-0.0008629708177461115,0.0015286156856351468,0.02647909825571083,-1,Volatility Event
13:00:00,1.22724,1.2276,1.22605,1.226255,21501.680041737854,True,-0.0008148265845320246,0.0012642225031605076,0.026492676720536006,-1,Hidden Accumulation
14:00:00,1.22626,1.2278600000000002,1.2259250000000002,1.226435,29170.440086923543,True,0.0001467883923000901,0.0015783999836858043,0.026488668510258124,-1,Hidden Accumulation
15:00:00,1.22646,1.228265,1.22539,1.22755,39177.79009535165,True,0.0009091390901270202,0.002346191824643551,0.026481676907502662,-1,Hidden Accumulation
16:00:00,1.2275550000000002,1.22967,1.227315,1.22947,27877.99004138261,True,0.0015640910757199755,0.001918822796103777,0.02646338183676717,-1,Major Market Move
17:00:00,1.229475,1.23053,1.229275,1.22995,21071.520000338554,False,0.000390412128803419,0.0010209269691484868,0.026458648292892146,-1,Volatility Event
18:00:00,1.22994,1.23049,1.22926,1.229345,14731.210031203927,False,-0.0004918899142243305,0.0010006019881880679,0.02646099171522663,-1,Volatility Event
19:00:00,1.229365,1.230395,1.22898,1.230355,11464.850035749378,False,0.0008215757171503579,0.00115136129147744,0.02645208235937016,-1,Volatility Event
20:00:00,1.2303350000000002,1.230575,1.229285,1.229375,10047.805003263058,False,-0.0007965180781156489,0.0010493904993553271,0.000739951851260693,-1,Other
21:00:00,1.22938,1.229945,1.2289599999999998,1.22979,3482.9650033041835,False,0.0003375699034060542,0.0008014906913164267,0.0007409845280037587,-1,Other
22:00:00,1.22982,1.23022,1.229305,1.22968,1747.044998217374,False,-8.944616560535579e-05,0.0007443230117830799,0.0007096574260063844,-1,Other
13:00:00,1.0264799999999998,1.027505,1.01534,1.02126,111212.16924250127,True,-0.005090186412855524,0.011981208265211636,0.029352057145527962,-1,Major Market Move
12:00:00,0.97395,0.97637,0.97329,0.9741,114085.03902380171,True,0.00015914656371762703,0.003164524448006218,0.02030687632352067,-1,Hidden Accumulation
12:00:00,1.21185,1.214665,1.207195,1.21299,44375.38002543896,True,0.0009448403054848065,0.006187898392554713,0.026308041771764643,-1,Hidden Accumulation
13:00:00,1.212985,1.2152150000000002,1.2091349999999998,1.210105,46377.27009344847,True,-0.002378420267273418,0.005028388062540831,0.026349459646851835,-1,Major Market Move
14:00:00,1.210115,1.210225,1.206565,1.20758,34724.130040124066,True,-0.0020865957912742372,0.003033404748190107,0.02638421763942227,-1,Major Market Move
14:00:00,0.97751,0.98095,0.975365,0.979455,113792.25018290427,True,0.0020205016982444146,0.005726061525685206,0.006102201583809182,-1,Major Market Move
17:00:00,1.20439,1.2049949999999998,1.19902,1.19939,47878.25998063386,True,-0.004155613399258629,0.004983236309652751,0.026791395551812845,-1,Major Market Move
14:00:00,0.997405,1.003655,0.997135,1.00304,108502.98985475302,True,0.005639578309931004,0.006538733471395519,0.015246808953086105,-1,Major Market Move
15:00:00,1.2142149999999998,1.21665,1.21368,1.215935,32337.88013818116,True,0.0014083057094029794,0.002447103025509127,0.048619353312735675,-1,Major Market Move
12:00:00,1.21874,1.218915,1.21565,1.215835,29193.83003274352,True,-0.0024040729755121504,0.002685805947435589,0.0356951074464941,-1,Major Market Move
08:00:00,1.21568,1.218375,1.2151649999999998,1.217985,26120.17012416572,True,0.0018919374673540545,0.002641616570589309,0.032293717446433896,-1,Major Market Move
09:00:00,1.21799,1.21896,1.21598,1.2173850000000002,26569.32013804466,True,-0.0004926169041490347,0.0024506982022730493,0.032286974921769386,-1,Hidden Accumulation
18:00:00,1.21138,1.21138,1.20082,1.2018,71041.99998872727,True,-0.008035261053126908,0.008793990772971721,0.006991878344312993,-1,Major Market Move
13:00:00,1.0324399999999998,1.033505,1.030535,1.03222,108092.85961834344,True,-0.00020340362058468564,0.0028819981854084696,0.005485524092471051,-1,Hidden Accumulation
13:00:00,1.21433,1.21731,1.21406,1.21514,34551.650064647205,True,0.0006587940774414047,0.0026769681893810647,0.01479745396369649,-1,Hidden Accumulation
